#snap t x y z vx vy vz
0.00 0.00 -377.22 611.18 -284.66 73.02 -72.14 49.54
5.00 0.07 -371.92 606.00 -281.19 74.91 -76.63 52.87
10.00 0.14 -366.68 600.62 -277.60 73.48 -75.62 50.53
15.00 0.21 -361.23 595.11 -274.02 73.06 -77.66 52.32
20.00 0.29 -356.14 589.66 -270.44 71.38 -80.14 50.25
25.00 0.36 -351.20 584.09 -267.00 71.85 -82.68 48.39
30.00 0.43 -346.20 578.27 -263.58 68.75 -81.69 45.38
35.00 0.50 -341.55 572.51 -260.41 67.09 -82.74 43.81
40.00 0.57 -336.92 566.67 -257.26 65.06 -82.20 44.27
45.00 0.64 -332.14 560.67 -254.08 63.82 -84.02 44.63
50.00 0.71 -327.83 554.54 -250.64 57.48 -82.55 43.84
55.00 0.79 -323.92 548.73 -247.52 52.43 -80.63 43.67
60.00 0.86 -320.43 543.06 -244.39 46.86 -76.35 41.71
65.00 0.93 -317.21 537.76 -241.36 45.48 -72.23 39.63
70.00 1.00 -313.98 532.76 -238.37 45.97 -69.91 43.64
75.00 1.07 -310.66 527.77 -235.01 42.26 -65.20 48.63
80.00 1.14 -307.62 523.11 -231.33 45.34 -62.33 49.02
85.00 1.21 -304.23 518.53 -227.63 48.47 -62.76 54.24
90.00 1.29 -300.77 514.01 -223.60 47.63 -61.31 58.77
95.00 1.36 -297.09 509.63 -219.48 52.40 -61.15 59.58
100.00 1.43 -293.24 505.14 -215.11 54.80 -62.49 62.58
105.00 1.50 -289.15 500.71 -210.67 59.10 -62.83 62.79
110.00 1.57 -284.86 496.19 -206.13 60.43 -63.56 63.43
115.00 1.64 -280.41 491.62 -201.52 63.58 -65.11 66.03
120.00 1.71 -275.64 486.93 -196.90 69.99 -68.24 66.88
125.00 1.79 -270.53 481.98 -191.97 73.81 -69.13 68.16
130.00 1.86 -265.26 477.15 -187.25 76.77 -71.90 69.47
135.00 1.93 -259.59 472.04 -182.23 77.99 -70.88 70.99
140.00 2.00 -253.96 466.84 -177.24 79.31 -73.35 71.50
145.00 2.07 -248.29 461.43 -172.09 81.62 -77.86 72.47
150.00 2.14 -242.26 455.87 -167.08 84.15 -81.33 75.25
155.00 2.21 -236.32 450.08 -161.71 85.62 -82.00 73.44
160.00 2.29 -230.21 444.36 -156.56 88.84 -83.38 71.72
165.00 2.36 -223.83 438.26 -151.29 92.43 -87.66 71.40
170.00 2.43 -217.45 431.89 -146.07 89.70 -91.72 71.35
175.00 2.50 -211.06 425.32 -140.92 91.21 -94.63 73.15
180.00 2.57 -204.53 418.44 -135.58 92.86 -96.49 73.94
185.00 2.64 -198.03 411.41 -130.11 91.25 -96.54 73.57
190.00 2.71 -191.44 404.44 -124.78 92.87 -98.84 73.10
195.00 2.79 -184.67 397.18 -119.29 93.98 -102.04 76.98
200.00 2.86 -177.96 389.84 -113.73 96.50 -104.21 77.35
205.00 2.93 -171.10 382.22 -108.03 95.88 -105.77 77.15
210.00 3.00 -164.16 374.39 -102.37 96.86 -111.34 79.60
215.00 3.07 -157.39 366.46 -96.57 97.66 -112.70 82.89
220.00 3.14 -150.03 358.05 -90.49 101.44 -118.94 83.56
225.00 3.21 -142.81 349.45 -84.45 102.79 -121.87 83.62
230.00 3.29 -135.27 340.45 -78.33 107.23 -130.07 87.45
235.00 3.36 -127.45 330.70 -71.77 111.27 -136.17 89.86
240.00 3.43 -119.34 320.69 -65.43 113.34 -144.93 88.25
245.00 3.50 -110.88 309.74 -59.15 119.24 -158.33 87.46
250.00 3.57 -102.39 297.91 -52.76 116.91 -169.74 90.34
255.00 3.64 -93.74 285.33 -46.58 122.86 -182.88 86.62
