#snap t x y z vx vy vz
260.00 3.71 -84.69 271.57 -40.66 124.34 -200.69 82.36
265.00 3.79 -75.64 256.30 -35.11 125.80 -228.54 71.17
270.00 3.86 -66.63 238.96 -30.58 122.90 -260.23 53.36
275.00 3.93 -58.58 218.97 -28.04 96.04 -299.59 13.18
280.00 4.00 -53.55 197.84 -29.91 42.44 -285.14 -53.02
285.00 4.07 -51.64 179.57 -34.83 14.92 -230.42 -69.75
290.00 4.14 -50.68 165.26 -39.85 17.52 -184.22 -59.88
295.00 4.21 -49.52 153.31 -43.54 22.85 -157.60 -42.29
300.00 4.29 -48.07 142.85 -45.96 24.97 -135.07 -25.62
305.00 4.36 -46.76 133.87 -47.10 22.03 -114.55 -13.44
310.00 4.43 -45.56 126.29 -47.85 18.66 -99.16 -3.55
315.00 4.50 -44.39 119.79 -48.08 19.55 -82.35 1.31
320.00 4.57 -43.28 114.38 -48.08 15.50 -66.78 5.48
325.00 4.64 -41.83 109.28 -46.86 15.15 -54.54 9.11
330.00 4.71 -40.79 105.66 -46.04 14.99 -43.84 14.26
335.00 4.79 -39.81 102.90 -45.03 13.01 -32.74 14.93
340.00 4.86 -38.94 101.03 -43.98 16.40 -22.30 16.73
345.00 4.93 -38.02 99.97 -42.92 17.05 -11.47 17.53
350.00 5.00 -36.71 99.53 -41.76 19.41 -4.01 21.75
355.00 5.07 -35.26 99.55 -40.15 20.12 4.98 24.41
360.00 5.14 -33.54 100.22 -38.38 22.93 13.85 27.89
365.00 5.21 -31.28 101.44 -36.21 27.10 19.61 33.60
370.00 5.29 -29.41 103.15 -33.78 26.63 28.55 37.54
375.00 5.36 -27.25 105.55 -31.15 30.34 37.07 42.08
380.00 5.43 -25.23 108.60 -28.15 34.21 48.25 45.78
385.00 5.50 -22.66 112.34 -24.78 37.58 55.71 52.09
390.00 5.57 -19.91 116.95 -20.89 44.13 70.28 58.80
395.00 5.64 -16.74 122.59 -16.51 49.11 87.25 68.40
400.00 5.71 -13.01 129.66 -11.34 60.69 110.51 80.01
405.00 5.79 -8.33 138.71 -5.16 80.92 147.04 98.89
410.00 5.86 -0.49 150.72 3.24 197.12 148.43 134.19
415.00 5.93 10.53 156.80 9.18 119.89 20.56 64.18
420.00 6.00 17.63 157.90 12.17 50.89 -6.58 39.23
425.00 6.07 21.86 156.40 13.98 8.35 -21.28 22.18
430.00 6.14 23.84 152.78 15.33 -14.48 -50.91 8.29
435.00 6.21 19.08 145.64 16.17 -52.24 -116.09 -21.17
440.00 6.29 19.22 140.27 14.31 56.11 0.60 50.14
445.00 6.36 22.98 139.78 18.26 36.36 -8.44 50.78
450.00 6.43 29.36 138.17 20.00 29.26 -28.03 41.01
455.00 6.50 28.41 136.69 21.28 37.33 -35.06 35.03
460.00 6.57 31.40 134.48 24.25 37.69 -25.70 49.21
465.00 6.64 34.59 132.72 26.91 41.89 -26.81 43.33
470.00 6.71 35.58 131.76 29.12 44.16 -27.24 39.84
475.00 6.79 38.82 129.91 31.67 39.12 -34.76 27.89
480.00 6.86 41.76 127.71 33.94 40.94 -32.65 27.07
485.00 6.93 44.15 125.68 35.94 38.34 -33.92 27.08
490.00 7.00 47.03 123.44 38.24 40.85 -33.96 27.00
495.00 7.07 49.46 120.78 40.17 34.33 -34.88 14.83
500.00 7.14 51.96 118.32 41.84 34.54 -30.67 15.08
505.00 7.21 54.46 116.16 43.61 33.38 -27.96 14.37
510.00 7.29 56.92 114.15 45.25 34.41 -29.56 14.63
515.00 7.36 60.33 112.35 46.12 36.27 -25.13 18.95
520.00 7.43 62.72 110.68 47.74 34.52 -22.43 19.51
525.00 7.50 65.29 109.05 49.57 37.15 -22.66 22.67
530.00 7.57 67.82 107.31 51.33 35.68 -22.65 24.83
535.00 7.64 70.42 105.62 53.40 34.79 -21.15 20.91
540.00 7.71 72.71 103.99 55.08 31.69 -19.78 21.57
545.00 7.79 75.38 103.25 55.99 33.49 -16.19 20.09
550.00 7.86 78.14 101.05 58.04 32.39 -18.75 19.96
555.00 7.93 80.74 99.64 59.57 32.79 -20.70 16.59
560.00 8.00 83.38 98.39 61.15 34.06 -18.07 21.11
565.00 8.07 85.83 97.23 62.80 34.33 -18.66 22.31
570.00 8.14 88.02 95.94 64.63 33.06 -16.57 24.52
575.00 8.21 90.42 94.88 66.39 34.60 -15.82 25.96
580.00 8.29 92.93 93.80 68.35 35.66 -20.85 31.12
585.00 8.36 95.37 92.46 70.47 36.99 -20.31 35.55
590.00 8.43 97.73 91.02 72.46 37.49 -24.06 32.40
595.00 8.50 100.02 89.14 74.55 34.48 -28.39 32.64
600.00 8.57 102.47 87.43 76.36 35.91 -28.44 29.94
605.00 8.64 104.99 85.33 78.17 33.66 -33.60 23.44
610.00 8.71 107.80 83.11 80.19 29.52 -31.37 25.15
615.00 8.79 109.91 81.26 82.06 32.62 -28.09 23.34
620.00 8.86 112.35 79.38 83.62 32.07 -29.25 20.82
625.00 8.93 114.46 77.41 85.25 31.94 -27.37 21.86
630.00 9.00 116.44 75.36 87.03 32.24 -26.13 19.75
635.00 9.07 118.77 73.47 88.64 29.25 -24.54 21.65
640.00 9.14 120.55 71.41 90.32 30.61 -25.17 21.16
645.00 9.21 122.74 69.71 91.89 29.44 -25.17 18.72
650.00 9.29 124.64 67.57 93.22 31.42 -26.38 19.60
655.00 9.36 126.74 65.67 94.80 31.17 -26.46 21.88
660.00 9.43 128.49 63.67 96.12 27.18 -25.43 21.67
665.00 9.50 130.69 62.84 97.09 24.90 -20.84 19.92
670.00 9.57 132.58 61.18 98.69 25.17 -14.67 22.33
675.00 9.64 134.73 60.16 100.30 29.04 -13.30 23.09
680.00 9.71 136.93 59.06 102.21 31.62 -13.28 23.72
685.00 9.79 139.29 58.10 104.31 33.03 -14.51 25.27
690.00 9.86 141.79 57.06 106.47 33.90 -18.72 25.56
695.00 9.93 144.04 55.89 108.44 32.75 -20.22 30.21
700.00 10.00 146.44 54.85 110.69 36.61 -20.52 31.46
705.00 10.07 148.92 53.59 112.75 33.38 -19.29 31.89
710.00 10.14 151.34 52.28 114.89 31.23 -18.14 33.27
715.00 10.21 153.97 51.03 116.80 34.16 -19.13 30.51
720.00 10.29 156.37 49.27 119.06 34.41 -19.61 29.34
725.00 10.36 158.96 47.47 121.43 36.29 -19.90 28.17
730.00 10.43 162.16 46.01 123.14 34.85 -24.99 27.98
735.00 10.50 163.72 44.26 125.18 33.09 -31.67 25.71
740.00 10.57 165.86 42.26 126.86 31.95 -31.03 19.61
745.00 10.64 168.11 40.12 128.22 28.82 -29.80 19.38
750.00 10.71 170.26 38.11 129.60 31.25 -25.91 17.22
755.00 10.79 172.24 36.25 131.04 26.73 -22.14 19.98
760.00 10.86 174.05 34.61 132.41 28.29 -18.63 19.06
765.00 10.93 176.08 33.06 134.39 27.79 -16.85 21.52
770.00 11.00 177.96 31.69 135.69 30.21 -15.46 24.79
775.00 11.07 179.94 30.53 137.35 31.87 -16.82 26.64
780.00 11.14 181.94 29.07 138.92 29.78 -20.13 27.70
785.00 11.21 183.92 27.53 140.58 29.18 -18.62 29.46
790.00 11.29 186.26 26.36 142.37 29.18 -17.69 27.20
795.00 11.36 188.49 25.16 143.95 30.54 -20.37 27.87
800.00 11.43 191.05 23.68 146.16 31.77 -22.63 27.23
