#snap t x y z vx vy vz
160.00 2.29 -52.98 467.62 -44.13 149.97 -165.40 63.31
165.00 2.36 -42.38 455.61 -39.88 144.12 -170.01 58.46
170.00 2.43 -32.36 443.39 -35.73 134.61 -170.64 56.20
175.00 2.50 -23.06 431.08 -31.83 124.32 -176.33 51.56
180.00 2.57 -14.37 418.42 -28.18 116.45 -179.02 47.28
185.00 2.64 -6.25 405.46 -24.91 111.43 -185.65 44.29
190.00 2.71 1.36 392.09 -22.01 102.79 -186.96 38.35
195.00 2.79 8.54 378.66 -19.49 97.64 -189.99 33.24
200.00 2.86 15.21 364.89 -17.08 88.88 -195.97 29.90
205.00 2.93 21.00 350.72 -15.07 76.87 -200.40 24.60
210.00 3.00 26.23 336.34 -13.36 68.85 -203.26 21.76
215.00 3.07 30.76 321.64 -11.78 58.21 -207.92 18.73
220.00 3.14 34.52 306.55 -10.59 47.62 -213.86 15.54
225.00 3.21 37.49 291.15 -9.83 36.78 -218.24 8.78
230.00 3.29 39.50 275.33 -9.48 20.88 -223.21 3.25
235.00 3.36 40.36 259.28 -9.35 4.84 -228.19 -0.96
240.00 3.43 40.20 242.82 -9.53 -13.28 -231.92 -7.11
245.00 3.50 38.43 226.07 -10.27 -32.21 -238.68 -14.07
250.00 3.57 35.50 208.78 -11.49 -54.35 -244.94 -20.52
255.00 3.64 30.87 191.18 -13.29 -79.97 -246.20 -32.18
260.00 3.71 24.00 173.66 -16.03 -113.68 -243.07 -44.04
265.00 3.79 14.48 156.60 -19.65 -152.04 -232.36 -56.77
270.00 3.86 2.47 140.76 -24.24 -188.07 -210.41 -71.71
275.00 3.93 -12.02 126.70 -29.65 -219.98 -178.96 -81.13
280.00 4.00 -28.67 115.67 -35.70 -246.16 -128.94 -86.13
285.00 4.07 -47.00 108.42 -41.57 -260.07 -70.27 -78.51
290.00 4.14 -65.32 105.74 -46.97 -250.82 -1.98 -66.68
295.00 4.21 -82.23 108.14 -51.00 -219.33 69.45 -47.08
300.00 4.29 -96.03 115.23 -53.70 -166.14 123.71 -29.06
305.00 4.36 -105.59 125.36 -55.00 -104.64 154.61 -10.30
310.00 4.43 -111.04 137.01 -55.05 -46.87 169.03 6.86
315.00 4.50 -112.60 149.11 -54.13 1.30 169.70 16.36
320.00 4.57 -111.12 161.09 -52.68 39.51 165.45 25.65
325.00 4.64 -107.07 172.70 -50.59 71.78 160.42 30.74
330.00 4.71 -100.87 183.86 -48.17 100.63 153.76 39.51
335.00 4.79 -92.71 194.45 -45.02 125.20 145.91 49.60
340.00 4.86 -82.91 204.63 -41.14 148.53 137.66 59.54
345.00 4.93 -71.64 214.18 -36.40 167.29 129.80 72.00
350.00 5.00 -59.15 223.24 -30.84 183.15 123.04 85.71
355.00 5.07 -45.28 231.98 -23.99 206.16 120.56 106.50
360.00 5.14 -29.80 240.37 -15.12 230.51 113.40 144.49
365.00 5.21 -12.44 247.62 -2.60 255.37 86.43 213.29
370.00 5.29 5.41 250.79 15.27 232.31 -6.17 277.17
375.00 5.36 20.03 247.46 34.68 179.64 -81.37 260.13
380.00 5.43 31.44 240.48 51.84 142.06 -112.76 221.12
385.00 5.50 40.69 231.85 66.18 117.72 -131.76 184.19
390.00 5.57 48.55 222.06 78.45 94.24 -142.63 156.85
395.00 5.64 54.85 211.45 88.70 77.61 -149.66 128.57
400.00 5.71 59.98 200.52 97.14 62.91 -158.00 104.51
405.00 5.79 64.13 189.07 103.88 50.52 -162.12 81.83
410.00 5.86 67.27 177.33 108.81 33.83 -167.50 58.07
415.00 5.93 68.70 165.20 111.96 20.19 -167.62 36.57
420.00 6.00 69.91 153.20 113.75 6.92 -168.64 11.75
425.00 6.07 70.41 141.47 114.09 -4.00 -166.24 -11.19
430.00 6.14 69.32 129.65 112.12 -18.61 -160.98 -36.47
435.00 6.21 67.43 118.37 108.39 -31.99 -155.34 -65.97
440.00 6.29 64.13 107.62 102.27 -46.99 -142.30 -98.41
445.00 6.36 60.18 98.10 94.13 -63.88 -125.74 -129.67
450.00 6.43 55.13 89.88 83.65 -76.65 -102.68 -162.54
455.00 6.50 49.24 83.62 70.77 -89.35 -71.85 -197.73
460.00 6.57 42.30 80.08 55.54 -102.23 -25.93 -228.47
465.00 6.64 34.85 80.29 38.16 -107.50 34.56 -254.40
470.00 6.71 27.17 85.58 19.90 -99.78 115.47 -253.71
475.00 6.79 20.86 96.46 2.76 -75.98 186.29 -217.92
480.00 6.86 16.66 111.35 -10.51 -39.43 224.78 -151.68
485.00 6.93 15.00 127.73 -19.15 -8.11 231.36 -89.83
490.00 7.00 15.50 143.84 -23.52 19.79 216.58 -37.57
495.00 7.07 17.47 158.51 -24.66 39.33 195.27 4.14
500.00 7.14 21.04 171.63 -23.29 55.17 172.53 36.18
505.00 7.21 25.36 182.92 -19.81 66.23 145.91 62.14
510.00 7.29 30.44 192.39 -14.37 77.25 120.00 85.97
515.00 7.36 36.31 199.92 -7.57 85.88 91.28 104.29
520.00 7.43 42.79 205.43 0.44 93.25 64.46 121.33
525.00 7.50 49.63 208.98 9.61 99.23 32.72 134.49
530.00 7.57 56.84 210.23 19.54 103.35 2.69 144.65
535.00 7.64 64.21 209.30 30.19 103.24 -29.86 153.59
540.00 7.71 71.55 206.01 41.52 102.67 -64.64 161.59
545.00 7.79 78.93 200.18 53.20 104.93 -101.46 162.89
550.00 7.86 86.31 191.55 64.72 102.30 -140.14 161.73
555.00 7.93 93.64 179.90 76.16 96.01 -186.15 156.81
560.00 8.00 100.26 165.03 86.96 89.67 -231.21 143.07
565.00 8.07 106.07 146.54 96.28 72.67 -283.70 115.52
570.00 8.14 110.33 124.71 103.01 45.21 -327.94 67.90
575.00 8.21 112.36 100.32 105.40 9.77 -352.93 -5.54
580.00 8.29 110.93 76.07 100.83 -36.07 -327.96 -88.90
585.00 8.36 107.52 54.27 93.22 -72.43 -263.17 -149.40
590.00 8.43 101.79 38.17 81.37 -84.42 -187.37 -178.42
595.00 8.50 95.66 27.48 68.35 -86.69 -115.42 -181.25
600.00 8.57 89.53 21.59 55.62 -80.68 -51.89 -172.44
605.00 8.64 84.12 19.66 43.93 -74.50 -4.73 -153.28
610.00 8.71 79.27 20.87 33.94 -57.38 37.47 -126.28
615.00 8.79 75.73 24.80 26.06 -40.82 70.33 -96.88
620.00 8.86 73.56 30.74 20.20 -23.13 95.22 -65.14
625.00 8.93 72.75 38.32 16.80 -1.15 116.07 -29.98
630.00 9.00 73.18 47.17 15.73 16.78 131.78 3.57
635.00 9.07 75.13 56.93 17.27 37.54 140.55 40.92
640.00 9.14 78.63 67.18 21.68 61.27 143.81 83.84
645.00 9.21 83.83 77.40 29.29 85.34 140.51 127.81
650.00 9.29 91.02 87.01 40.11 116.25 128.06 175.52
655.00 9.36 100.61 95.17 54.62 149.75 96.84 229.60
660.00 9.43 112.58 100.19 72.90 179.88 37.40 281.41
665.00 9.50 126.69 99.81 94.21 208.67 -56.16 310.18
670.00 9.57 141.77 91.62 115.84 204.58 -173.59 287.26
675.00 9.64 155.28 76.14 133.66 166.23 -245.89 206.29
680.00 9.71 165.49 57.86 145.49 117.23 -258.63 124.35
685.00 9.79 172.30 39.87 151.95 73.68 -240.41 59.47
690.00 9.86 176.59 23.68 154.52 39.33 -207.88 15.38
695.00 9.93 178.62 9.74 153.94 10.85 -175.13 -22.02
700.00 10.00 178.92 -1.62 150.94 -10.92 -129.93 -47.71
705.00 10.07 177.64 -10.16 145.81 -22.80 -78.38 -82.63
710.00 10.14 174.82 -15.61 139.15 -40.67 -39.76 -95.95
715.00 10.21 170.91 -17.68 131.17 -59.63 0.45 -118.05
720.00 10.29 165.89 -15.83 122.45 -66.28 55.83 -123.88
725.00 10.36 160.11 -9.75 113.52 -84.60 119.89 -124.07
730.00 10.43 154.07 1.48 105.24 -82.73 194.87 -103.61
735.00 10.50 148.78 18.23 99.55 -60.08 274.73 -50.56
740.00 10.57 150.09 41.03 105.10 -1.40 317.90 43.35
745.00 10.64 148.83 61.55 105.68 67.45 274.33 135.32
750.00 10.71 155.40 78.25 117.26 111.21 190.51 179.99
755.00 10.79 164.45 89.06 130.75 135.37 108.32 192.77
760.00 10.86 174.39 94.23 144.30 141.75 36.83 186.16
765.00 10.93 184.52 94.74 157.05 137.51 -22.46 169.99
770.00 11.00 194.16 91.00 168.34 131.82 -78.58 144.64
775.00 11.07 202.97 83.67 177.59 91.42 -163.87 75.12
780.00 11.14 210.65 73.21 184.36 96.54 -166.38 78.06
785.00 11.21 216.38 60.11 188.32 66.27 -198.59 34.01
790.00 11.29 219.91 45.06 188.95 31.22 -222.50 -14.52
795.00 11.36 220.67 28.68 185.63 28.02 -244.53 -39.19
800.00 11.43 217.76 12.26 177.60 -69.46 -219.01 -146.57
